W/B,MK ,B,SP ,CS,MOE,Strain
0.48,0,50,2,39.31,5.979,0.00695222
0.48,0,50,2,37.08,5.579,0.00751251
0.48,0,50,2,37.76,5.379,0.00827908
0.48,0,50,2,32.06,5.082,0.00612117
0.48,0,50,2,32.84,5.744,0.006728
0.48,0,30,2,44.61,6.458,0.00567568
0.48,0,30,2,33.63,6.054,0.00791667
0.48,0,30,2,41.1,6.25,0.0076523
0.48,0,30,2,51.07,6.641,0.008077
0.48,0,30,2,47.17,6.391,0.00743455
0.48,5,50,2,54.65,7.067,0.00766
0.48,5,50,2,53.25,7.066,0.0044797
0.48,5,50,2,57.55,7.762,0.00785
0.48,5,50,2,45.96,7.31,0.0066
0.48,3,30,2,40.51,6.12,0.0064586
0.48,3,30,2,58.94,6.827,0.00884138
0.48,3,30,2,46.2,6.649,0.007808
0.48,3,30,2,38.56,5.397,0.007758
0.48,3,30,2,34.9,5.833,0.0059459
1.2,0,50,0,15.41,2.716,0.008842
1.2,0,50,0,18.59,2.737,0.009601
1.2,0,50,0,15.07,2.845,0.00724588
1.2,0,50,0,15.07,3.003,0.0087
1.2,0,50,0,21.16,2.733,0.0086447
1.2,0,30,0,24.54,3.259,0.00918227
1.2,0,30,0,23.01,3.131,0.00892216
1.2,0,30,0,21.61,2.701,0.00982
1.2,0,30,0,22.92,2.851,0.0091018
1.2,0,30,0,22.56,3.075,0.00840237
1.2,5,50,0,16.82,2.751,0.0072
1.2,5,50,0,18.01,2.98,0.0072
1.2,5,50,0,19.08,3.355,0.00732
1.2,5,50,0,22.55,3.47,0.007589
1.2,3,30,0,15.41,2.775,0.00695
1.2,3,30,0,18.59,3.379,0.006895
1.2,3,30,0,15.07,1.995,0.007571
1.2,3,30,0,15.07,1.974,0.0076
1.2,3,30,0,21.16,3.161,0.006604
0.4,0,50,2,55.35,27.442,0.0029
0.4,0,50,2,62.25,24.325,0.0044
0.4,0,50,2,41.04,24.875,0.00074
0.4,0,50,2,58,27.754,0.003
0.4,0,50,2,50.35,27.249,0.0011
0.4,0,50,2,46.48,26.476,0.0046
0.4,0,50,2,61.49,28.976,0.0028
0.4,0,50,2,62.25,24.325,0.0044
